"#","Reference","Qty","Value","Footprint","DNP","Manufacturer Part Number","Manufacturer"
"1","BB1","1","Busbar","FixedWing:BUSBAR_SHORT","","T2 Copper","PATIKIL"
"2","BB2","1","Busbar","FixedWing:BUSBAR_LONG","","T2 Copper","PATIKIL"
"3","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C15, C18, C19, C21, C34, C35, C41, C43, C61, C64, C65, C67, C68, C69, C71, C72, C73, C74, C75, C76, C78, C82, C83, C84, C85, C95, C96","40","0.1µ","FixedWing:CAP_GCJ-18_MUR","","GCJ188R72A104KA01D","Murata Electronics"
"4","C14, C37, C66, C70, C77, C79, C87, C90, C91, C92, C93","11","1µ","FixedWing:CAPC1608X90N","","GCM188R71C105KA64D","Murata Electronics"
"5","C16, C30, C31, C32, C94","5","1µ","FixedWing:CAP_CL31_SAM","","CL31B105KCHNNNE","Samsung Electro-Mechanics"
"6","C17, C20, C33","3","100p","FixedWing:CAPC220145_88N_KEM","","C0805C101J1GACTU","KEMET"
"7","C22, C39, C62, C63","4","4.7µ","FixedWing:CAPC2012X145N","","GCM21BC71E475KE36L","Murata Electronics"
"8","C23, C24, C25, C26, C27, C28, C40","7","3.9n","FixedWing:G-21_MUR","","GRM2165C1H392JA01D","Murata Electronics"
"9","C29","1","220uF","FixedWing:CAPAE1300X1650N","","AEK1216221M080R","Kyocera AVX"
"10","C36","1","560p","FixedWing:CAP_CC0805_YAG","","CC0805JRNPO9BN561","YAGEO"
"11","C38","1","33n","FixedWing:CAPC2012X94N","","KGM21NR71E333KT","KYOCERA AVX"
"12","C42","1","1.5n","FixedWing:G-21_MUR","","GRM2165C1H152JA01D","Murata Electronics"
"13","C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58","15","47µ","FixedWing:G-32_MUR","","GRM32ER71A476KE15L","Murata Electronics"
"14","C59, C60","2","15p","FixedWing:CAPC2012X70","","CC0805JPNPO9BN150","YAGEO"
"15","C80, C81, C86","3","10µ","FixedWing:CAP_CL21B106KOQNNNE_SAM","","CL21B106KOQNNNE","Samsung Electro-Mechanics"
"16","C88","1","100p","FixedWing:CAPC220145_88N_KEM","DNP","C0805C101J1GACTU","KEMET"
"17","C89","1","22n","FixedWing:CAPC2012X95N","","AC0805JRX7R0BB223","YAGEO"
"18","CR1","1","USBLC6-2SC6","FixedWing:SOT23-6L_STM","","USBLC6-2SC6","STMicroelectronics"
"19","D1, D3, D4, D17, D18, D19","6","100V","FixedWing:D_SOD-123","","BAS100AS_R1_00001","Panjit International Inc."
